KPI_DON_Code,NSO_DON_name,NSO_ZON_name,iso_3,iso_2,lat,long,admission_date,admission_date_note
DES001,Spanish Red Cross,Europe and Central Asia,ESP,ES,40.463667,-3.74922,22.08.1919,
DET001,Ethiopian Red Cross Society,Africa,ETH,ET,9.145,40.489673,16.10.1950,
DFI001,Finnish Red Cross,Europe and Central Asia,FIN,FI,61.92411,25.748151,08.06.1921,
DFJ001,Fiji Red Cross Society,Asia Pacific,FJI,FJ,-16.578193,179.414413,02.11.1973,
DFM001,Micronesia Red Cross,Asia Pacific,FSM,FM,7.425554,150.550812,28.11.2003,
DFR001,French Red Cross,Europe and Central Asia,FRA,FR,46.227638,2.213749,05.05.1919,
DGA001,Gabonese Red Cross Society,Africa,GAB,GA,-0.803689,11.609444,23.10.1999,
DGB001,British Red Cross,Europe and Central Asia,GBR,GB,55.378051,-3.435973,05.05.1919,
DGD001,Grenada Red Cross Society,Americas,GRD,GD,12.262776,-61.604171,23.11.1987,
DGE001,Red Cross Society of Georgia,Europe and Central Asia,GEO,GE,42.315407,43.356892,20.11.1997,
DGH001,Ghana Red Cross Society,Africa,GHA,GH,7.946527,-1.023194,26.09.1959,
DGM001,The Gambia Red Cross Society,Africa,GMB,GM,13.443182,-15.310139,29.10.1975,
DGN001,Red Cross Society of Guinea,Africa,GIN,GN,9.945587,-9.696645,18.10.1986,
DGQ001,Red Cross of Equatorial Guinea,Africa,GNQ,GQ,1.650801,10.267895,27.11.1995,
DGR001,Hellenic Red Cross,Europe and Central Asia,GRC,GR,39.074208,21.824312,26.06.1919,
DGT001,Guatemalan Red Cross,Americas,GTM,GT,15.783471,-90.230759,15.08.1923,
DGW001,Red Cross Society of Guinea-Bissau,Africa,GNB,GW,11.803749,-15.180413,18.10.1986,
DGY001,The Guyana Red Cross Society,Americas,GUY,GY,4.860416,-58.93018,01.09.1969,
DHN001,Honduran Red Cross,Americas,HND,HN,15.199999,-86.241905,27.11.1945  ,
DHR001,Croatian Red Cross,Europe and Central Asia,HRV,HR,45,15,25.10.1993,
DHT001,Haiti Red Cross Society,Americas,HTI,HT,18.971187,-72.285215,03.05.1937,
DHU001,Hungarian Red Cross,Europe and Central Asia,HUN,HU,47.162494,19.503304,14.06.1921,
DID001,Indonesian Red Cross Society,Asia Pacific,IDN,ID,-0.789275,113.921327,16.10.1950,
DIE001,Irish Red Cross Society,Europe and Central Asia,IRL,IE,53.41291,-8.24389,24.11.1945  ,
DIL001,Israel - Magen David Adom in Israel,Middle East and North Africa,ISR,IL,31.046051,34.851612,22.06.2006,
DIN001,Indian Red Cross Society,Asia Pacific,IND,IN,20.593684,78.96288,07.08.1919     ,
DIQ001,Iraqi Red Crescent Society,Middle East and North Africa,IRQ,IQ,33.223191,43.679291,23.06.1934,
DIR001,Red Crescent Society of the Islamic Republic of Iran,Middle East and North Africa,IRN,IR,32.427908,53.688046,21.01.1929,
DIS001,Icelandic Red Cross,Europe and Central Asia,ISL,IS,64.963051,-19.020835,30.05.1925,
DIT001,Italian Red Cross,Europe and Central Asia,ITA,IT,41.87194,12.56738,05.05.1919,
DJM001,Jamaica Red Cross,Americas,JAM,JM,18.109581,-77.297508,28.09.1965,
DJO001,Jordan National Red Crescent Society,Middle East and North Africa,JOR,JO,30.585164,36.238414,16.10.1950,
DJP001,Japanese Red Cross Society,Asia Pacific,JPN,JP,36.204824,138.252924,05.05.1919,
